% time  amplitude  freq   approx.island width[cm] (CATS)
64.0984  0.000374661  9.64355  5.591345
64.1066  0.000371779  9.64355  5.569952
64.1148  0.000362855  9.64355  5.50284
64.1229  0.000355327  9.58252  5.44559
64.1311  0.000365468  9.58252  5.522879
64.1393  0.000376362  9.58252  5.604707
64.1475  0.000394163  9.52148  5.735832
64.1557  0.000367261  9.52148  5.536733
64.1639  0.000375018  9.46045  5.594989
64.1721  0.000391963  9.46045  5.720077
64.1803  0.000401246  9.46045  5.78749
64.1885  0.000449817  9.46045  6.127843
64.1967  0.000376652  9.39941  5.607431
64.2049  0.000361591  9.39941  5.49422
64.2131  0.000407822  9.39941  5.834925
64.2213  0.000392198  9.39941  5.722091
64.2295  0.000388155  9.39941  5.69254
64.2377  0.000394742  9.39941  5.740649
64.2459  0.000372928  9.39941  5.579779
64.2541  0.000398639  9.39941  5.768913
64.2623  0.000421831  9.39941  5.934339
64.2705  0.00039932  9.33838  5.773804
64.2787  0.00041829  9.39941  5.909327
64.2869  0.000414867  9.33838  5.885061
64.2951  0.000378774  9.33838  5.623197
64.3033  0.000386475  9.33838  5.680023
64.3115  0.000383087  9.33838  5.655014
64.3197  0.000373637  9.39941  5.584767
64.3279  0.000379179  9.39941  5.625963
64.3361  0.00037521  9.39941  5.596365
64.3443  0.000366478  9.39941  5.53078
64.3525  0.000361752  9.39941  5.494916
64.3607  0.000378502  9.39941  5.620596
64.3689  0.000446148  9.46045  6.102109
64.3771  0.000387549  9.52148  5.687162
64.3852  0.000377715  9.46045  5.614433
64.3934  0.000419016  9.58252  5.913302
64.4016  0.000376264  9.76562  5.603401
64.4098  0.000340239  9.76562  5.328287
64.418  0.000340575  9.82666  5.330792
64.4262  0.000345158  9.82666  5.366409
64.4344  0.000343449  9.82666  5.352972
64.4426  0.000334539  9.82666  5.282943
64.4508  0.000349947  9.82666  5.403088
64.459  0.000333443  9.8877  5.273995
64.4672  0.000334137  9.82666  5.279331
64.4754  0.000336907  9.82666  5.301015
64.4836  0.000361779  9.82666  5.493041
64.4918  0.000342028  9.76562  5.34083
64.5  0.000341908  9.70459  5.339727
64.5082  0.000337327  9.70459  5.303667
64.5164  0.000330221  9.70459  5.247338
64.5246  0.000333238  9.70459  5.271081
64.5328  0.00035236  9.64355  5.420024
64.541  0.000370725  9.64355  5.559287
64.5492  0.000353347  9.76562  5.427238
64.5574  0.000341107  10.0708  5.332223
64.5656  0.000344814  10.1318  5.360929
64.5738  0.000343542  10.1318  5.35084
64.582  0.000337748  10.1929  5.305333
64.5902  0.000338574  10.1318  5.311622
64.5984  0.000346609  10.1318  5.37408
64.6066  0.000333287  10.1929  5.269594
